English Term,English Def.,Arabic Term,Arabic Def.,French Term,French Def.,Refined  English Def.,Refined French Def.
Action Recognition,"ِA computer vision task that analyzes videos to identify human actions. Also called ""Human Action Recognition"" or ""Human Activity Recognition (HAR).""",تعرُّف على الأفعال,"مهمة في رؤية الحاسب تُحلِّل الفيديوهات لتحديد الأفعال البشرية. ويُطلق عليها أيضًا ""تعرُّف على الأفعال البشرية"" أو ""تعرُّف على النشاط البشري"".",Reconnaissance d’action,"Tâche de vision par ordinateur consistant à analyser des vidéos afin d’identifier les actions humaines. Également appelée "" Reconnaissance d’action humaine "" ou "" Reconnaissance d’activité humaine"".",,
Action Selection,A process of deciding what to do next by an agent.,اختيار الفعل,عملية تحديد ما يجب أن يقوم به الوكيل في الخطوة التالية.,Sélection d’action,Processus par lequel un agent décide de l’action suivante à entreprendre.,,
Activation Function,A mathematical formula used in an artificial neural network to process weighted inputs of a node and generate output.,دالة تنشيط,صيغة رياضية تُستخدم في الشبكة العصبية الاصطناعية؛ لمعالجة المُدْخَلات الموزونة للعُقَد وتوليد المخرجات.,Fonction d’activation,Formule mathématique utilisée dans un réseau de neurones artificiels pour traiter les entrées pondérées d’un nœud et générer une sortie.,,
Activation Map,"See ""Feature Map.""",خريطة التنشيط,"انظر ""خريطة الخصائص"".",Carte d’activation,"Voir "" Carte de caractéristiques "".",,
Active Learning,A semi-supervised learning approach where the algorithm selects some of the data it needs for learning.,تعلُّم نشط,طريقة تعلُّم شبه موجَّه، يمكن للخوارزمية فيها اختيار بعض البيانات للتعلُّم منها.,Apprentissage actif,Approche d’apprentissage semi-supervisé dans laquelle l’algorithme sélectionne lui-même une partie des données dont il a besoin pour l’apprentissage.,,
Active Prompting,A method to adapt a model to specific tasks by selecting and annotating the most uncertain questions with task-specific prompts and chain-of-thought.,أوامر نشطة,طريقة لتكييف نموذج على مهام محددة عن طريق اختيار الأسئلة الأكثر غموضًا، وتوصيفها باستخدام أوامر متعلقة بالمهام وتسلسل الأفكار.," ""Prompting"" actif ou Consigne active","Méthode permettant d’adapter un modèle à des tâches spécifiques en sélectionnant et annotant les questions les plus incertaines à l’aide de ""prompts"" ou instructions et de raisonnements adaptés à la tâche.",,
Ad Targeting,"An advanced method for advertising that targets ads at the audiences who are most likely receptive to the offerings. Also called ""Targeted Advertising (or Targeted Ads).""",توجيه الإعلانات,"طريقة إعلانية متقدمة تستهدف الجمهور الأكثر تقبلًا للعروض. ويُطلق عليها أيضًا ""إعلان موجَّه"".",Ciblage publicitaire,"Méthode avancée de publicité visant à diffuser des annonces auprès des publics les plus susceptibles d’y être réceptifs. Également appelée "" Publicité ciblée "".",,
AdaGrad,An advanced gradient descent algorithm that performs gradient using knowledge of the data geometry from previous iterations.,تدرج تَّكَيُّفيّ (أدا جراد),خوارزمية متقدمة للنزول التدرجي، تُنفِّذ التدرج عن طريق معرفة أشكال البيانات من تكرارات سابقة.,AdaGrad,Algorithme avancé de descente de gradient qui ajuste les gradients en fonction de la géométrie des données issue des itérations précédentes.,,
Adapter Tuning,A fine-tuning technique that adds small trainable layers to a pre-trained model and only updates the parameters of these layers to adapt the model to specific tasks.,ضبط المُكيِّف,أسلوب ضبط دقيق يضيف طبقات صغيرة قابلة للتدريب إلى نموذج مُدرَّب سابقًا، ويُحدِّث فقط مُعامِلات هذه الطبقات؛ لتكييف النموذج على مهام محددة.,Ajustement par adaptateur,Technique d’ajustement consistant à ajouter de petites couches entraînables à un modèle pré-entraîné et à ne mettre à jour que les paramètres de ces couches pour adapter le modèle à des tâches spécifiques.,,
Adaptive Algorithm,An algorithm that changes its behavior at run time based on available information and predefined criteria.,خوارزمية تَكَيُّفيَّة,خوارزمية تغير سلوكها في وقت التشغيل بناءً على المعلومات المتاحة، والمعايير المحددة سابقًا.,Algorithme adaptatif,Algorithme qui modifie son comportement en temps réel en fonction des informations disponibles et de critères prédéfinis.,,
Adaptive Boosting (AdaBoost),A boosting technique that combines multiple weak classifiers to create a strong classifier.,تعزيز تَّكَيُّفيّ,أسلوب تعزيز يجمع بين عدد من المصنِّفات الضعيفة؛ لإنشاء مصنِّف قوي.,"""Boosting"" adaptatif (AdaBoost) ou renforcement adaptatif",Technique de renforcement qui combine plusieurs classificateurs faibles pour créer un classificateur robuste.,,
Adaptive Data Governance,"A flexible data governance approach focuses on continually adjusting to meet changes in business needs, regulatory requirements, and technologies.",حَوْكمة تَكَيُّفيَّة للبيانات,طريقة مرنة لحوكمة البيانات، تركز على التعديل المستمر؛ لتلبية التغيرات في احتياجات العمل والمتطلبات التنظيمية والتقنيات.,Gouvernance adaptative des données,"Approche flexible de la gouvernance des données axée sur l’adaptation continue aux changements des besoins organisationnels, des exigences réglementaires et des technologies.",,
Adaptive Machine Learning,A way to update and retrain machine learning models incrementally to adapt to new changes.,تعلُّم الآلة التَّكَيُّفيّ,طريقة لتحديث نماذج تعلُّم الآلة وإعادة تدريبها تدريجيًّا؛ للتَّكَيُّف مع التغيرات الجديدة.,Apprentissage automatique adaptatif,Méthode permettant de mettre à jour et de réentraîner les modèles d’apprentissage automatique de manière incrémentale afin de s’adapter aux nouvelles évolutions.,,
Adaptive Neuro-Fuzzy Inference System (ANFIS),A technique that combines fuzzy logic and neural networks to enhance the performance and applicability of a prediction.,نظام استنتاج عصبي-ضبابي تَّكَيُّفيّ,أسلوب يجمع بين المنطق الضبابي والشبكات العصبية؛ لتحسين أداء التنبؤ وقابليته للتطبيق.,Système d'inférence neuro-floue adaptative,Technique combinant la logique floue et les réseaux neuronaux pour améliorer la performance et l’applicabilité d’une prédiction.,,
Admissible Heuristic,A function that never overestimates the cost of reaching the goal in a search algorithm.,إرشادية مقبولة,دالة لا تبالغ في تقدير تكلفة الوصول إلى الهدف في خوارزمية البحث.,Heuristique admissible,Fonction qui ne surestime jamais le coût d’atteindre l’objectif dans un algorithme de recherche.,,
Advanced Driver Assistance Systems (ADAS),"See ""Driver Assistance.""",أنظمة مساعدة السائق المتقدمة,"انظر ""مساعدة السائق"".",Systèmes avancés d’assistance à la conduite ,"Voir ""Assistance à la conduite "".",,
Adversarial Example,The inputs that have been deliberately designed to trick a machine learning model into making a mistake.,مثال عدائي,مُدْخَلات صُمِّمت عمدًا لخداع نموذج تعلُّم الآلة، ودفعه لارتكاب الأخطاء.,Exemple antagoniste,Entrées délibérément conçues pour tromper un modèle d’apprentissage automatique et provoquer une erreur.,,
Adversarial Machine Learning,A field that focuses on designing effective machine learning algorithms against security challenges.,تعلُّم الآلة العدائي,مجال يركز على تصميم خوارزميات فاعلة لتعلُّم الآلة؛ لأجل مواجهة التحديات الأمنية.,Apprentissage automatique antagoniste,Domaine axé sur la conception d’algorithmes d’apprentissage automatique résistants aux attaques et aux menaces de sécurité.,,
Adversarial Prompting,A technique to craft prompts designed to mislead or manipulate a model into producing harmful or undesirable outputs.,أوامر عدائية,أسلوب لصياغة أوامر مصممة لتضليل النموذج أو التلاعب به؛ لإنتاج مخرجات ضارة أو غير مرغوب فيها.,"""Adversarial Prompting"" ou instruction antagoniste","Technique consistant à formuler des ""prompts"" (instructions) destinées à induire ou manipuler un modèle pour produire des sorties erronées ou indésirables.",,
Affective Computing,"A subfield of artificial intelligence concerned with the development of systems capable of recognizing and processing human emotions. Also called ""Emotion Artificial Intelligence (or Emotional Artificial Intelligence).""",حوسبة عاطفية,"مجال فرعي من الذكاء الاصطناعي يهتم بتطوير أنظمة قادرة على التعرُّف على المشاعر البشرية ومعالجتها. ويُطلق عليه أيضًا ""ذكاء اصطناعي عاطفي"".",Informatique affective,"Sous-domaine de l’intelligence artificielle consacré au développement de systèmes capables de reconnaître et de traiter les émotions humaines. Également appelée "" Intelligence artificielle émotionnelle "".",,
Agent,A physical or software entity that can perceive its environment and act autonomously to accomplish a goal.,وكيل,كيان مادي أو برمجي يمكنه إدراك بيئته، والعمل بتحكم ذاتي لتحقيق هدف.,Agent,Entité physique ou logicielle capable de percevoir son environnement et d’agir de manière autonome pour atteindre un objectif.,,
Agent Architecture,A blueprint of the agent's control system that illustrates the control components and the functional organization.,معمارية الوكيل,مخطط لنظام التحكم الخاص بالوكيل، يوضح مُكوِّنات التحكم والتنظيم الوظيفي.,Architecture d’agent,"Schéma conceptuel illustrant le système de contrôle d’un agent, ses composants fonctionnels et leur organisation.",,
Agglomerative Clustering,A method of creating a hierarchical tree by assigning each example to its cluster and iteratively merging the closest clusters.,تجميع تكتُّلي,طريقة لإنشاء شجرة هرمية عن طريق تعيين كل مثال في مجموعته، ودمج أقرب المجموعات بصورة تَكرارية.,"""Clustering"" agglomératif ou regroupement hiérarchique ascendant","Méthode de création d’une hiérarchie de groupes en assignant chaque exemple à un cluster, puis en fusionnant itérativement les clusters les plus proches.",,
Algorithm,A set of well-defined instructions to solve a problem or perform a task.,خوارزمية,مجموعة من التعليمات المحددة لحل مشكلة ما، أو أداء مهمة معينة.,Algorithme,Ensemble d’instructions bien définies permettant de résoudre un problème ou d’exécuter une tâche.,,
Algorithm in the Loop,A collaborative decision-making framework that leverages algorithms to improve human decision-making.,خوارزمية في الحلقة,إطار تعاوني لاتخاذ القرار، يستفيد من الخوارزميات لتحسين عملية اتخاذ القرار البشري.,Algorithme dans la boucle,Cadre de décision collaborative qui utilise les algorithmes pour améliorer la prise de décision humaine.,,
Algorithmic Aversion,"The human tendency to avoid or distrust using algorithms, even when they outperform human performance.",نفور من الخوارزميات,الميل البشري إلى تجنب استخدام الخوارزميات أو عدم الثقة فيها؛ حتى عندما تتفوق على الأداء البشري.,Aversion aux algorithmes,"Tendance humaine à éviter ou à se méfier de l’utilisation d’algorithmes, même lorsque ceux-ci surpassent la performance humaine.",,
Algorithmic Bias,"See ""Artificial Intelligence Bias.""",تحيُّز خوارزمي,"انظر ""تحيُّز الذكاء الاصطناعي"".",Biais algorithmique,"Voir "" Biais de l’intelligence artificielle "".",,
Algorithmic Efficiency,A metric to measure the average execution time of an algorithm to complete working on a set of data.,كفاءة خوارزمية,مقياس لحساب متوسط الوقت اللازم للخوارزمية لتنفذ العمل كاملًا على مجموعة من البيانات.,Efficience algorithmique,Mesure du temps moyen d’exécution nécessaire à un algorithme pour traiter un ensemble de données.,,
Algorithmic Learning Theory,An area of computational learning theory that follows non-statistical and non-probabilistic approaches to learning limits.,نظرية التعلُّم الخوارزمي,مجال من مجالات نظرية التعلُّم الحوسبي التي تُحلل حدود التعلُّم بطُرُق غير إحصائية وغير احتمالية.,Théorie de l’apprentissage algorithmique,Domaine de la théorie de l’apprentissage computationnel qui adopte des approches non statistiques et non probabilistes pour étudier les limites de l’apprentissage.,,
Algorithmic Probability,"A method of assigning a prior probability to objects. Also called ""Solomonoff Probability.""",احتمال خوارزمي,"طريقة لتعيين احتمالية سابقة للأشياء. ويُطلق عليها أيضًا ""احتمالية سولومونوف"".",Probabilité algorithmique,"Méthode d’attribution d’une probabilité a priori à des objets. Également appelée "" Probabilité de Solomonoff "".",,
Ambient Intelligence (AmI),A digital environment that is sensitive to people and supports their daily lives.,ذكاء محيطي,بيئة رقمية مراعية للأشخاص، وداعمة لحياتهم اليومية.,Intelligence ambiante,Environnement numérique sensible aux personnes et conçu pour soutenir leurs activités quotidiennes.,,
Analog Artificial Intelligence,A type of AI that uses analog computing principles and systems to design and implement AI algorithms and models.,ذكاء اصطناعي تناظري,نوع من الذكاء الاصطناعي يستخدم مبادئ الحوسبة التناظرية وأنظمتها؛ لتصميم وتنفيذ خوارزميات ونماذج الذكاء الاصطناعي.,Intelligence artificielle analogique,Type d’intelligence artificielle reposant sur les principes et systèmes du calcul analogique pour concevoir et mettre en œuvre des algorithmes et modèles d’IA.,,
Analog Data,"Data represented in a continuous and variable form, as opposed to digital data, which is represented in discrete and binary form (i.e., 0s and 1s).",بيانات تناظرية,بيانات ممثلة بشكل مستمر ومتغير، على عكس البيانات الرقمية التي تُمثَّل بشكل منفصل وثنائي (أي: 0 و1).,Données analogiques,"Données représentées sous forme continue et variable, par opposition aux données numériques, représentées sous forme discrète et binaire (0s et 1s).",,
Analog Deep Learning,An approach that uses analog computing and hardware to perform the computations required for deep learning tasks.,تعلُّم عميق تناظري,طريقة تستخدم الحوسبة والأجهزة التناظرية لإجراء العمليات الحسابية المطلوبة لمهام التعلُّم العميق.,Apprentissage profond analogique,Approche utilisant le calcul et le matériel analogiques pour exécuter les opérations nécessaires aux tâches d’apprentissage profond.,,
Analysis of Algorithms,The process of determining the computational complexity and performance of algorithms to evaluate their application suitability or compare them with other algorithms.,تحليل الخوارزميات,عملية تحديد التعقيد الحوسبي للخوارزميات وأدائها؛ وذلك من أجل تقييم مدى ملاءمة تطبيقاتها، أو مقارنتها بخوارزميات أخرى.,Analyse des algorithmes,Processus consistant à déterminer la complexité computationnelle et la performance des algorithmes afin d’évaluer leur pertinence ou de les comparer à d’autres.,,
Analytics Platform,"A unified technology solution that enables the full cycle of analytics processes, including data preparation, data processing, data storage, and data management.",منصة تحليلات,حل تقني موحد يتيح إجراء الدورة الكاملة لعمليات التحليلات، ويشمل: إعداد البيانات ومعالجتها وتخزينها وإدارتها.,Plateforme analytique,"Solution technologique intégrée permettant d’exécuter l’ensemble du cycle des processus analytiques, y compris la préparation, le traitement, le stockage et la gestion des données.",,
Anchor Box,A predefined bounding box with a specific height and width that helps detect overlapping objects and objects with different scales within an image.,إطار مرجعي,إطار تحديد بارتفاع وعرض محددين سابقًا، يساعد في اكتشاف الأشياء المتداخلة والأشياء ذات المقاييس المختلفة داخل الصورة.,Boîte d’ancrage,"Boîte de délimitation prédéfinie avec une hauteur et une largeur spécifiques, utilisée pour détecter les objets qui se chevauchent ou de tailles différentes dans une image.",,
Annotator,"A worker who assists in labeling data (e.g., images) on-demand. Also called ""Labeler"" or ""Rater.""",مُوَصِّف,"عامل يساعد في تسمية البيانات (مثل الصور) عند الطلب. يُطلق عليه أيضًا ""مُسمِّي"" أو ""مُقيِّم"".",Annotateur,"Travailleur chargé d’étiqueter les données (par exemple, des images) à la demande. Également appelé "" Étiqueteur "" ou "" Évaluateur "".",,
Anomaly Detection,The process of identifying unusual or abnormal observations in the data because of their different characteristics from the majority of the processed data.,اكتشاف الشذوذ,عملية تحديد المشاهدات غير المعتادة أو غير الطبيعية في البيانات؛ نظرًا لخصائصها المختلفة عن غالبية البيانات المعالجة.,Détection d’anomalies,Processus consistant à identifier des observations inhabituelles ou anormales dans les données en raison de caractéristiques différentes de la majorité des données traitées.,,
Answer Set Programming (ASP),A type of declarative programming for solving complex search problems.,برمجة مجموعة الإجابات,نوع من البرمجة التصريحية لحل مشكلات البحث المعقدة.,Programmation par ensembles de réponses ,Type de programmation déclarative utilisé pour résoudre des problèmes complexes de recherche.,,
Anytime Algorithm,"An algorithm that gives a valid result even if it is interrupted before it ends, and the quality of results improves gradually as long as it runs.",خوارزمية فورية,خوارزمية تعطي نتيجة صالحة حتى لو قوطعت قبل انتهائها، وتتحسن جودة نتائجها تدريجيًّا ما دامت تعمل.,Algorithme à tout moment,"Algorithme capable de produire un résultat valide même s’il est interrompu avant la fin, avec une qualité de résultat qui s’améliore progressivement tant qu’il s’exécute.",,
Application Data Management (ADM),"The process of governing, securing, and maintaining the data used by specific software applications.",إدارة بيانات التطبيقات,عملية الحوكمة والتأمين والصيانة للبيانات المستخدمة بواسطة تطبيقات برمجية محددة.,Gestion des données applicatives ,"Processus de gouvernance, de sécurisation et de maintenance des données utilisées par des applications logicielles spécifiques.",,
Application Programming Interface (API),A set of rules and protocols that allows different software applications to communicate and interact with each other.,واجهة برمجة التطبيقات,مجموعة من القواعد والبروتوكولات التي تُتيح للتطبيقات البرمجية المختلفة التواصل والتفاعل بعضها مع بعض.,Interface de programmation d’applications ,Ensemble de règles et de protocoles permettant à différentes applications logicielles de communiquer et d’interagir entre elles.,,
Approximate String Matching,A process of finding an approximate match for strings instead of an exact match.,مطابقة تقريبية للسلاسل,عملية العثور على تطابق تقريبي للسلاسل بدلًا من المطابقة التامة.,Correspondance approximative de chaînes,Processus de recherche d’une correspondance approximative entre des chaînes de caractères plutôt qu’une correspondance exacte.,,
Approximation Error,The difference between the true value and the value estimated by a model.,خطأ التقريب,الفرق بين القيمة الحقيقية والقيمة المقدرة بواسطة النموذج.,Erreur d’approximation,Différence entre la valeur réelle et la valeur estimée par un modèle.,,
Area under the ROC Curve (AUC),A performance metric used to evaluate the ability of a binary classification model to distinguish between positive and negative classes across all classification thresholds.,مساحة تحت منحنى دقّة الأداء,مقياس أداء يُستخدم لتقييم قدرة نموذج التصنيف الثنائي على التمييز بين الأصناف الإيجابية والسلبية عبر جميع حدود التصنيف.,Aire sous la courbe ROC ,Indicateur de performance utilisé pour évaluer la capacité d’un modèle de classification binaire à distinguer les classes positives et négatives à différents seuils.,,
Argumentation Framework,A graph that has nodes representing arguments and edges representing the conflicts between these arguments.,إطار الحُجج,شبكة تشتمل على عُقَد تُمثِّل الحُجج، وحافات تُمثِّل التعارضات بين هذه الحُجج.,Cadre d’argumentation,Graphe dont les nœuds représentent des arguments et les arêtes les conflits existant entre eux.,,
Artificial General Intelligence (AGI),"A computational system that can perform any intellectual task a human can perform, such as problem-solving, creativity, and adaptability. Also called ""General Artificial Intelligence"", “Strong Artificial Intelligence”, or ""Broad Artificial Intelligence.""",ذكاء عام اصطناعي,"نظام حوسبي يمكنه أداء أي مهمة فكرية يمكن للإنسان أداؤها، مثل: حل المشكلات والإبداع والقدرة على التَّكَيُّف. ويُطلق عليه أيضًا ""ذكاء اصطناعي عام""، أو ""ذكاء اصطناعي قوي""، أو ""ذكاء اصطناعي واسع"".",Intelligence artificielle générale ,"Système informatique capable d’exécuter toute tâche intellectuelle qu’un humain peut accomplir, telles que la résolution de problèmes, la créativité et l’adaptabilité. Également appelée "" Intelligence artificielle forte "" ou "" Intelligence artificielle générale étendue "".",,
Artificial Immune System (AIS),An adaptive system for problem-solving inspired by the human immune system.,نظام المناعة الاصطناعي,نظام تَكَيُّفيّ لحل المشكلات، مستوحى من جهاز المناعة البشري.,Système immunitaire artificiel ,Système adaptatif de résolution de problèmes inspiré du système immunitaire humain.,,
Artificial Intelligence (AI),"A computer science field that focuses on building systems capable of performing tasks that usually require human intelligence, such as learning, reasoning, and self-development. Also called ""Machine Intelligence.""",ذكاء اصطناعي,"مجال من مجالات علوم الحاسب يركز على بناء أنظمة قادرة على أداء مهام تتطلب عادةً ذكاءً بشريًّا، مثل: التعلُّم والاستدلال والتطوير الذاتي. ويُطلق عليه أيضًا ""ذكاء الآلة"".",Intelligence artificielle (IA),"Domaine de l’informatique consacré à la création de systèmes capables d’exécuter des tâches nécessitant habituellement l’intelligence humaine, comme l’apprentissage, le raisonnement et l’auto-amélioration. Également appelée "" Intelligence machine "".",,
Artificial Intelligence Alignment,The process of making AI systems act in ways that are aligned with human goals and values.,مواءمة الذكاء الاصطناعي,عملية جعل أنظمة الذكاء الاصطناعي تعمل بطرق تتماشى مع الأهداف والقيم الإنسانية.,Alignement de l’intelligence artificielle,Processus consistant à faire en sorte que les systèmes d’intelligence artificielle agissent en accord avec les objectifs et les valeurs humaines.,,
Artificial Intelligence as a Service (AIaaS),A cloud-based service that provides ready-to-use AI capabilities and tools to individuals and organizations.,ذكاء اصطناعي كخدمة,خدمة قائمة على السحابة، توفر إمكانات الذكاء الاصطناعي وأدواته، جاهزة للاستخدام من الأفراد والمؤسسات.,Intelligence artificielle en tant que service ,Un service basé sur le cloud fournissant des capacités et outils d’intelligence artificielle prêts à l’emploi aux individus et aux organisations.,,
Artificial Intelligence Bias,"A favoritism or prejudice of an AI system towards some groups over others. Also called ""Algorithmic Bias.""",تحيُّز الذكاء الاصطناعي,"تفضيل أو انحياز نظام الذكاء الاصطناعي لمجموعات ما على حساب مجموعات أخرى. ويُطلق عليه أيضًا ""تحيُّز خوارزمي"".",Biais de l’intelligence artificielle,"Préférence ou préjugé d’un système d’intelligence artificielle envers certains groupes au détriment d’autres. Également appelé "" biais algorithmique "".",,
Artificial Intelligence Ethics,"A set of values, principles, and techniques to guide moral conduct in developing and using AI technologies.",أخلاقيات الذكاء الاصطناعي,مجموعة من القيم والمبادئ والأساليب لتوجيه السلوك الأخلاقي في تطوير تقنيات الذكاء الاصطناعي واستخدامها.,Éthique de l’intelligence artificielle,"Ensemble de valeurs, de principes et de techniques visant à encadrer la conduite morale dans le développement et l’utilisation des technologies d’intelligence artificielle.",,
Artificial Intelligence Governance,"The policies, principles, and practices to ensure the responsible, ethical, and safe development and use of AI.",حوكمة الذكاء الاصطناعي,السياسات والمبادئ والممارسات التي تضمن التطوير والاستخدام المسؤول والأخلاقي والآمن للذكاء الاصطناعي.,Gouvernance de l’intelligence artificielle,"Politiques, principes et pratiques destinés à garantir le développement et l’utilisation responsables, éthiques et sûrs de l’intelligence artificielle.",,
Artificial Intelligence Hallucination,"An instance when an AI model generates incorrect, misleading, or nonsensical results.",هلوسة الذكاء الاصطناعي,حالة يولِّد فيها نموذج الذكاء الاصطناعي نتائج غير صحيحة أو مضللة أو غير منطقية.,Hallucination de l’intelligence artificielle,"Situation où un modèle d’intelligence artificielle génère des résultats incorrects, trompeurs ou dépourvus de sens.",,
Artificial Intelligence Markup Language (AIML),An Extensible Markup Language (XML) based markup language for developing natural language applications.,لغة ترميز الذكاء الاصطناعي,لغة ترميزية مبنية على لغة الترميز الموسعة (XML)؛ لتطوير تطبيقات اللغات الطبيعية.,Langage de balisage pour l’intelligence artificielle ,Langage de balisage fondé sur XML utilisé pour le développement d’applications en langage naturel,,
Artificial Intelligence Operations (AIOps),"The application of AI technologies to automate and enhance IT operations processes, such as monitoring, analysis, and management.",ذكاء اصطناعي للعمليات,تطبيق تقنيات الذكاء الاصطناعي لأتمتة عمليات تشغيل تقنية المعلومات وتحسينها، مثل: المراقبة والتحليل والإدارة.,Opérations d’intelligence artificielle ,"Application de technologies d’intelligence artificielle pour automatiser et améliorer les processus des opérations informatiques, tels que la surveillance, l’analyse et la gestion.",,
Artificial Intelligence Planning,"A branch of AI concerned with selecting the appropriate set of actions to achieve a specific goal. Also called ""Automated Planning and Scheduling.""",تخطيط الذكاء الاصطناعي,"فرع من فروع الذكاء الاصطناعي يهتم باختيار مجموعة من الأفعال المناسبة لتحقيق هدف معين. ويُطلق عليه أيضًا ""تخطيط وجدولة مؤتمتة"".",Planification en intelligence artificielle,"Branche de l’intelligence artificielle qui consiste à sélectionner l’ensemble d’actions appropriées pour atteindre un objectif précis. Également appelée "" planification et ordonnancement automatisés "".",,
Artificial Intelligence System,"A system capable of performing tasks that usually require human intelligence, such as learning, reasoning, and self-development.",نظام ذكاء اصطناعي,نظام قادر على أداء مهام تتطلب عادةً ذكاءً بشريًّا، مثل: التعلُّم والاستدلال والتطوير الذاتي.,Système d’intelligence artificielle,"Système capable d’exécuter des tâches nécessitant généralement l’intelligence humaine, telles que l’apprentissage, le raisonnement et l’auto-amélioration.",,
Artificial Narrow Intelligence (ANI),"A type of AI system that can only perform specific tasks. Also called ""Narrow Artificial Intelligence (NAI)"" or ""Weak Artificial Intelligence.""",ذكاء ضيق اصطناعي,"نوع من أنظمة الذكاء الاصطناعي قادر على تنفيذ مهام محددة فقط. ويُطلق عليه أيضًا ""ذكاء اصطناعي ضيق"" أو ""ذكاء اصطناعي ضعيف"".",Intelligence artificielle restreinte ,"Type de système d’intelligence artificielle capable d’accomplir uniquement des tâches spécifiques. Également appelée "" intelligence artificielle faible "" ou "" intelligence artificielle étroite "".",,
Artificial Neural Network (ANN),"A computational model in AI that is inspired by the biological neural networks of animal brains. Also called ""Neural Network (NN).""",شبكة عصبية اصطناعية,"نموذج حوسبي في الذكاء الاصطناعي مستوحى من الشبكات العصبية البيولوجية لأدمغة الحيوانات. ويُطلق عليه أيضًا ""شبكة عصبية"".",Réseau de neurones artificiels ,"Modèle computationnel inspiré des réseaux neuronaux biologiques du cerveau animal. Également appelé "" réseau neuronal "".",,
Artificial Neuron,"See ""Neuron.""",خلية عصبية اصطناعية,"انظر ""خلية عصبية"".",Neurone artificiel,"Voir "" Neurone "".",,
Artificial Superintelligence (ASI),"See ""Superintelligence.""",ذكاء اصطناعي خارق,"انظر ""ذكاء خارق"".",Superintelligence artificielle ,"Voir "" Superintelligence "".",,
Artificial Synapse,"See ""Synapse.""",ناقل عصبي اصطناعي,"انظر ""ناقل عصبي"".",Synapse artificielle,"Voir "" Synapse "".",,
