English Term,English Def.,Arabic Term,Arabic Def.
Ad Targeting,"An advanced method for advertising that targets ads at the audiences who are most likely receptive to the offerings. Also called ""Targeted Advertising (or Targeted Ads).""",توجيه الإعلانات,"طريقة إعلانية متقدمة تستهدف الجمهور الأكثر تقبلًا للعروض. ويُطلق عليها أيضًا ""إعلان موجَّه""."
AdaGrad,An advanced gradient descent algorithm that performs gradient using knowledge of the data geometry from previous iterations.,تدرج تَّكَيُّفيّ (أدا جراد),خوارزمية متقدمة للنزول التدرجي، تُنفِّذ التدرج عن طريق معرفة أشكال البيانات من تكرارات سابقة.
Adapter Tuning,A fine-tuning technique that adds small trainable layers to a pre-trained model and only updates the parameters of these layers to adapt the model to specific tasks.,ضبط المُكيِّف,أسلوب ضبط دقيق يضيف طبقات صغيرة قابلة للتدريب إلى نموذج مُدرَّب سابقًا، ويُحدِّث فقط مُعامِلات هذه الطبقات؛ لتكييف النموذج على مهام محددة.
Adaptive Algorithm,An algorithm that changes its behavior at run time based on available information and predefined criteria.,خوارزمية تَكَيُّفيَّة,خوارزمية تغير سلوكها في وقت التشغيل بناءً على المعلومات المتاحة، والمعايير المحددة سابقًا.
Adaptive Boosting (AdaBoost),A boosting technique that combines multiple weak classifiers to create a strong classifier.,تعزيز تَّكَيُّفيّ,أسلوب تعزيز يجمع بين عدد من المصنِّفات الضعيفة؛ لإنشاء مصنِّف قوي.
Adaptive Data Governance,"A flexible data governance approach focuses on continually adjusting to meet changes in business needs, regulatory requirements, and technologies.",حَوْكمة تَكَيُّفيَّة للبيانات,طريقة مرنة لحوكمة البيانات، تركز على التعديل المستمر؛ لتلبية التغيرات في احتياجات العمل والمتطلبات التنظيمية والتقنيات.
Adaptive Machine Learning,A way to update and retrain machine learning models incrementally to adapt to new changes.,تعلُّم الآلة التَّكَيُّفيّ,طريقة لتحديث نماذج تعلُّم الآلة وإعادة تدريبها تدريجيًّا؛ للتَّكَيُّف مع التغيرات الجديدة.
Adaptive Neuro-Fuzzy Inference System (ANFIS),A technique that combines fuzzy logic and neural networks to enhance the performance and applicability of a prediction.,نظام استنتاج عصبي-ضبابي تَّكَيُّفيّ,أسلوب يجمع بين المنطق الضبابي والشبكات العصبية؛ لتحسين أداء التنبؤ وقابليته للتطبيق.
Admissible Heuristic,A function that never overestimates the cost of reaching the goal in a search algorithm.,إرشادية مقبولة,دالة لا تبالغ في تقدير تكلفة الوصول إلى الهدف في خوارزمية البحث.
Advanced Driver Assistance Systems (ADAS),"See ""Driver Assistance.""",أنظمة مساعدة السائق المتقدمة,"انظر ""مساعدة السائق""."
Adversarial Example,The inputs that have been deliberately designed to trick a machine learning model into making a mistake.,مثال عدائي,مُدْخَلات صُمِّمت عمدًا لخداع نموذج تعلُّم الآلة، ودفعه لارتكاب الأخطاء.
Adversarial Machine Learning,A field that focuses on designing effective machine learning algorithms against security challenges.,تعلُّم الآلة العدائي,مجال يركز على تصميم خوارزميات فاعلة لتعلُّم الآلة؛ لأجل مواجهة التحديات الأمنية.
Adversarial Prompting,A technique to craft prompts designed to mislead or manipulate a model into producing harmful or undesirable outputs.,أوامر عدائية,أسلوب لصياغة أوامر مصممة لتضليل النموذج أو التلاعب به؛ لإنتاج مخرجات ضارة أو غير مرغوب فيها.
Affective Computing,"A subfield of artificial intelligence concerned with the development of systems capable of recognizing and processing human emotions. Also called ""Emotion Artificial Intelligence (or Emotional Artificial Intelligence).""",حوسبة عاطفية,"مجال فرعي من الذكاء الاصطناعي يهتم بتطوير أنظمة قادرة على التعرُّف على المشاعر البشرية ومعالجتها. ويُطلق عليه أيضًا ""ذكاء اصطناعي عاطفي""."
Agent,A physical or software entity that can perceive its environment and act autonomously to accomplish a goal.,وكيل,كيان مادي أو برمجي يمكنه إدراك بيئته، والعمل بتحكم ذاتي لتحقيق هدف.
Agent Architecture,A blueprint of the agent's control system that illustrates the control components and the functional organization.,معمارية الوكيل,مخطط لنظام التحكم الخاص بالوكيل، يوضح مُكوِّنات التحكم والتنظيم الوظيفي.
Agglomerative Clustering,A method of creating a hierarchical tree by assigning each example to its cluster and iteratively merging the closest clusters.,تجميع تكتُّلي,طريقة لإنشاء شجرة هرمية عن طريق تعيين كل مثال في مجموعته، ودمج أقرب المجموعات بصورة تَكرارية.
Algorithm,A set of well-defined instructions to solve a problem or perform a task.,خوارزمية,مجموعة من التعليمات المحددة لحل مشكلة ما، أو أداء مهمة معينة.
Algorithm in the Loop,A collaborative decision-making framework that leverages algorithms to improve human decision-making.,خوارزمية في الحلقة,إطار تعاوني لاتخاذ القرار، يستفيد من الخوارزميات لتحسين عملية اتخاذ القرار البشري.
Algorithmic Aversion,"The human tendency to avoid or distrust using algorithms, even when they outperform human performance.",نفور من الخوارزميات,الميل البشري إلى تجنب استخدام الخوارزميات أو عدم الثقة فيها؛ حتى عندما تتفوق على الأداء البشري.
Algorithmic Bias,"See ""Artificial Intelligence Bias.""",تحيُّز خوارزمي,"انظر ""تحيُّز الذكاء الاصطناعي""."
Algorithmic Efficiency,A metric to measure the average execution time of an algorithm to complete working on a set of data.,كفاءة خوارزمية,مقياس لحساب متوسط الوقت اللازم للخوارزمية لتنفذ العمل كاملًا على مجموعة من البيانات.
Algorithmic Learning Theory,An area of computational learning theory that follows non-statistical and non-probabilistic approaches to learning limits.,نظرية التعلُّم الخوارزمي,مجال من مجالات نظرية التعلُّم الحوسبي التي تُحلل حدود التعلُّم بطُرُق غير إحصائية وغير احتمالية.
Algorithmic Probability,"A method of assigning a prior probability to objects. Also called ""Solomonoff Probability.""",احتمال خوارزمي,"طريقة لتعيين احتمالية سابقة للأشياء. ويُطلق عليها أيضًا ""احتمالية سولومونوف""."
Ambient Intelligence (AmI),A digital environment that is sensitive to people and supports their daily lives.,ذكاء محيطي,بيئة رقمية مراعية للأشخاص، وداعمة لحياتهم اليومية.
Analog Artificial Intelligence,A type of AI that uses analog computing principles and systems to design and implement AI algorithms and models.,ذكاء اصطناعي تناظري,نوع من الذكاء الاصطناعي يستخدم مبادئ الحوسبة التناظرية وأنظمتها؛ لتصميم وتنفيذ خوارزميات ونماذج الذكاء الاصطناعي.
Analog Data,"Data represented in a continuous and variable form, as opposed to digital data, which is represented in discrete and binary form (i.e., 0s and 1s).",بيانات تناظرية,بيانات ممثلة بشكل مستمر ومتغير، على عكس البيانات الرقمية التي تُمثَّل بشكل منفصل وثنائي (أي: 0 و1).
Analog Deep Learning,An approach that uses analog computing and hardware to perform the computations required for deep learning tasks.,تعلُّم عميق تناظري,طريقة تستخدم الحوسبة والأجهزة التناظرية لإجراء العمليات الحسابية المطلوبة لمهام التعلُّم العميق.
Analysis of Algorithms,The process of determining the computational complexity and performance of algorithms to evaluate their application suitability or compare them with other algorithms.,تحليل الخوارزميات,عملية تحديد التعقيد الحوسبي للخوارزميات وأدائها؛ وذلك من أجل تقييم مدى ملاءمة تطبيقاتها، أو مقارنتها بخوارزميات أخرى.
Analytics Platform,"A unified technology solution that enables the full cycle of analytics processes, including data preparation, data processing, data storage, and data management.",منصة تحليلات,حل تقني موحد يتيح إجراء الدورة الكاملة لعمليات التحليلات، ويشمل: إعداد البيانات ومعالجتها وتخزينها وإدارتها.
Anchor Box,A predefined bounding box with a specific height and width that helps detect overlapping objects and objects with different scales within an image.,إطار مرجعي,إطار تحديد بارتفاع وعرض محددين سابقًا، يساعد في اكتشاف الأشياء المتداخلة والأشياء ذات المقاييس المختلفة داخل الصورة.
Annotator,"A worker who assists in labeling data (e.g., images) on-demand. Also called ""Labeler"" or ""Rater.""",مُوَصِّف,"عامل يساعد في تسمية البيانات (مثل الصور) عند الطلب. يُطلق عليه أيضًا ""مُسمِّي"" أو ""مُقيِّم""."
Anomaly Detection,The process of identifying unusual or abnormal observations in the data because of their different characteristics from the majority of the processed data.,اكتشاف الشذوذ,عملية تحديد المشاهدات غير المعتادة أو غير الطبيعية في البيانات؛ نظرًا لخصائصها المختلفة عن غالبية البيانات المعالجة.
Answer Set Programming (ASP),A type of declarative programming for solving complex search problems.,برمجة مجموعة الإجابات,نوع من البرمجة التصريحية لحل مشكلات البحث المعقدة.
Anytime Algorithm,"An algorithm that gives a valid result even if it is interrupted before it ends, and the quality of results improves gradually as long as it runs.",خوارزمية فورية,خوارزمية تعطي نتيجة صالحة حتى لو قوطعت قبل انتهائها، وتتحسن جودة نتائجها تدريجيًّا ما دامت تعمل.
Application Data Management (ADM),"The process of governing, securing, and maintaining the data used by specific software applications.",إدارة بيانات التطبيقات,عملية الحوكمة والتأمين والصيانة للبيانات المستخدمة بواسطة تطبيقات برمجية محددة.
Application Programming Interface (API),A set of rules and protocols that allows different software applications to communicate and interact with each other.,واجهة برمجة التطبيقات,مجموعة من القواعد والبروتوكولات التي تُتيح للتطبيقات البرمجية المختلفة التواصل والتفاعل بعضها مع بعض.
Approximate String Matching,A process of finding an approximate match for strings instead of an exact match.,مطابقة تقريبية للسلاسل,عملية العثور على تطابق تقريبي للسلاسل بدلًا من المطابقة التامة.
Approximation Error,The difference between the true value and the value estimated by a model.,خطأ التقريب,الفرق بين القيمة الحقيقية والقيمة المقدرة بواسطة النموذج.
Area under the ROC Curve (AUC),A performance metric used to evaluate the ability of a binary classification model to distinguish between positive and negative classes across all classification thresholds.,مساحة تحت منحنى دقّة الأداء,مقياس أداء يُستخدم لتقييم قدرة نموذج التصنيف الثنائي على التمييز بين الأصناف الإيجابية والسلبية عبر جميع حدود التصنيف.
Argumentation Framework,A graph that has nodes representing arguments and edges representing the conflicts between these arguments.,إطار الحُجج,شبكة تشتمل على عُقَد تُمثِّل الحُجج، وحافات تُمثِّل التعارضات بين هذه الحُجج.
Artificial General Intelligence (AGI),"A computational system that can perform any intellectual task a human can perform, such as problem-solving, creativity, and adaptability. Also called ""General Artificial Intelligence"", “Strong Artificial Intelligence”, or ""Broad Artificial Intelligence.""",ذكاء عام اصطناعي,"نظام حوسبي يمكنه أداء أي مهمة فكرية يمكن للإنسان أداؤها، مثل: حل المشكلات والإبداع والقدرة على التَّكَيُّف. ويُطلق عليه أيضًا ""ذكاء اصطناعي عام""، أو ""ذكاء اصطناعي قوي""، أو ""ذكاء اصطناعي واسع""."
Artificial Immune System (AIS),An adaptive system for problem-solving inspired by the human immune system.,نظام المناعة الاصطناعي,نظام تَكَيُّفيّ لحل المشكلات، مستوحى من جهاز المناعة البشري.
Artificial Intelligence (AI),"A computer science field that focuses on building systems capable of performing tasks that usually require human intelligence, such as learning, reasoning, and self-development. Also called ""Machine Intelligence.""",ذكاء اصطناعي,"مجال من مجالات علوم الحاسب يركز على بناء أنظمة قادرة على أداء مهام تتطلب عادةً ذكاءً بشريًّا، مثل: التعلُّم والاستدلال والتطوير الذاتي. ويُطلق عليه أيضًا ""ذكاء الآلة""."
Artificial Intelligence Alignment,The process of making AI systems act in ways that are aligned with human goals and values.,مواءمة الذكاء الاصطناعي,عملية جعل أنظمة الذكاء الاصطناعي تعمل بطرق تتماشى مع الأهداف والقيم الإنسانية.
Artificial Intelligence as a Service (AIaaS),A cloud-based service that provides ready-to-use AI capabilities and tools to individuals and organizations.,ذكاء اصطناعي كخدمة,خدمة قائمة على السحابة، توفر إمكانات الذكاء الاصطناعي وأدواته، جاهزة للاستخدام من الأفراد والمؤسسات.
Artificial Intelligence Bias,"A favoritism or prejudice of an AI system towards some groups over others. Also called ""Algorithmic Bias.""",تحيُّز الذكاء الاصطناعي,"تفضيل أو انحياز نظام الذكاء الاصطناعي لمجموعات ما على حساب مجموعات أخرى. ويُطلق عليه أيضًا ""تحيُّز خوارزمي""."
Artificial Intelligence Ethics,"A set of values, principles, and techniques to guide moral conduct in developing and using AI technologies.",أخلاقيات الذكاء الاصطناعي,مجموعة من القيم والمبادئ والأساليب لتوجيه السلوك الأخلاقي في تطوير تقنيات الذكاء الاصطناعي واستخدامها.
Artificial Intelligence Governance,"The policies, principles, and practices to ensure the responsible, ethical, and safe development and use of AI.",حوكمة الذكاء الاصطناعي,السياسات والمبادئ والممارسات التي تضمن التطوير والاستخدام المسؤول والأخلاقي والآمن للذكاء الاصطناعي.
Artificial Intelligence Hallucination,"An instance when an AI model generates incorrect, misleading, or nonsensical results.",هلوسة الذكاء الاصطناعي,حالة يولِّد فيها نموذج الذكاء الاصطناعي نتائج غير صحيحة أو مضللة أو غير منطقية.
Artificial Intelligence Markup Language (AIML),An Extensible Markup Language (XML) based markup language for developing natural language applications.,لغة ترميز الذكاء الاصطناعي,لغة ترميزية مبنية على لغة الترميز الموسعة (XML)؛ لتطوير تطبيقات اللغات الطبيعية.
Artificial Intelligence Operations (AIOps),"The application of AI technologies to automate and enhance IT operations processes, such as monitoring, analysis, and management.",ذكاء اصطناعي للعمليات,تطبيق تقنيات الذكاء الاصطناعي لأتمتة عمليات تشغيل تقنية المعلومات وتحسينها، مثل: المراقبة والتحليل والإدارة.
Artificial Intelligence Planning,"A branch of AI concerned with selecting the appropriate set of actions to achieve a specific goal. Also called ""Automated Planning and Scheduling.""",تخطيط الذكاء الاصطناعي,"فرع من فروع الذكاء الاصطناعي يهتم باختيار مجموعة من الأفعال المناسبة لتحقيق هدف معين. ويُطلق عليه أيضًا ""تخطيط وجدولة مؤتمتة""."
Artificial Intelligence System,"A system capable of performing tasks that usually require human intelligence, such as learning, reasoning, and self-development.",نظام ذكاء اصطناعي,نظام قادر على أداء مهام تتطلب عادةً ذكاءً بشريًّا، مثل: التعلُّم والاستدلال والتطوير الذاتي.
Artificial Narrow Intelligence (ANI),"A type of AI system that can only perform specific tasks. Also called ""Narrow Artificial Intelligence (NAI)"" or ""Weak Artificial Intelligence.""",ذكاء ضيق اصطناعي,"نوع من أنظمة الذكاء الاصطناعي قادر على تنفيذ مهام محددة فقط. ويُطلق عليه أيضًا ""ذكاء اصطناعي ضيق"" أو ""ذكاء اصطناعي ضعيف""."
Artificial Neural Network (ANN),"A computational model in AI that is inspired by the biological neural networks of animal brains. Also called ""Neural Network (NN).""",شبكة عصبية اصطناعية,"نموذج حوسبي في الذكاء الاصطناعي مستوحى من الشبكات العصبية البيولوجية لأدمغة الحيوانات. ويُطلق عليه أيضًا ""شبكة عصبية""."
Artificial Neuron,"See ""Neuron.""",خلية عصبية اصطناعية,"انظر ""خلية عصبية""."
Artificial Superintelligence (ASI),"See ""Superintelligence.""",ذكاء اصطناعي خارق,"انظر ""ذكاء خارق""."
Artificial Synapse,"See ""Synapse.""",ناقل عصبي اصطناعي,"انظر ""ناقل عصبي""."
Association for the Advancement of Artificial Intelligence (AAAI),"A non-profit scientific society dedicated to advancing scientific research, public understanding, practitioner training, and responsible use of AI.",جمعية النهوض بالذكاء الاصطناعي,جمعية علمية غير ربحية مُكرَّسة للنهوض بالبحث العلمي، والتثقيف العام، وتدريب الممارسين، والحث على الاستخدام المسؤول للذكاء الاصطناعي.
Associative Learning,A rule-based technique in machine learning for discovering significant relationships between features or variables in a dataset.,تعلُّم ترابطي,أسلوب من أساليب تعلُّم الآلة قائم على قواعد لاكتشاف العلاقات المهمة بين الخصائص أو المتغيرات في مجموعة البيانات.
Attention Mechanism,"See ""Attention Model.""",آلية الانتباه,"انظر ""نموذج الانتباه""."
Attention Model,"A technique in a neural network that allows the network to focus on one aspect of a complex input each time until the whole dataset is categorized. Also called ""Attention Mechanism.""",نموذج الانتباه,"أسلوب في الشبكة العصبية يُتيح للشبكة التركيز على جانب واحد من المُدْخَلات المعقدة في كل مرة حتى تُصنَّف مجموعة البيانات بأكملها. ويُطلق عليه أيضًا ""آلية الانتباه""."
Attribute,"A property or characteristic of an object that humans or automated methods can identify. Often used as a synonym for ""Feature.""",سمة,"صفة أو ميزة لشيء ما بمقدور البشر أو الطُّرُق المؤتمتة التعرُّف عليها، وغالبًا ما تستخدم كمرادف لكلمة ""خاصية""."
Audio Signal Processing,ِA subfield of signal processing that focuses on analyzing and manipulating audio signals.,معالجة الإشارات الصوتية,مجال فرعي من معالجة الإشارات يركز على تحليل الإشارات الصوتية ومعالجتها.
Auditability,"The ability to review and assess data, processes, and decision-making within an AI system to ensure transparency and accountability.",قابلية التدقيق,القدرة على مراجعة البيانات والعمليات واتخاذ القرارات في نظام الذكاء الاصطناعي وتقييمها؛ لضمان الشفافية والمساءلة.
Augmented Analytics,The use of AI technologies to automate data analytics processes like data preparation and insight discovery.,تحليلات مُعَزَّزة,استخدام تقنيات الذكاء الاصطناعي لأتمتة عمليات تحليلات البيانات، مثل: إعداد البيانات واكتشاف الرؤى.
Augmented Data Quality,"The use of AI technologies to automate data quality processes and improve data accuracy, consistency, and reliability.",جودة البيانات المُعَزَّزة,استخدام تقنيات الذكاء الاصطناعي لأتمتة عمليات جودة البيانات، وتحسين دقة البيانات واتساقها وموثوقيتها.
Augmented Intelligence,"A design pattern that complements human intelligence and helps humans get smarter and faster in performing tasks. Also called ""Intelligence Augmentation.""",ذكاء مُعزَّز,"نمط تصميمي يُكمِّل الذكاء البشري، ويساعد البشر ليكونوا أذكى وأسرع في أداء المهام. ويُطلق عليه أيضًا ""تعزيز الذكاء""."
Augmented Research,The application of AI in analyzing data and testing hypotheses to support research in different fields.,بحث مُعزَّز,تطبيق الذكاء الاصطناعي في تحليل البيانات واختبار الفرضيات؛ لدعم البحث في المجالات المختلفة.
Auto-Regressive Model,A model that predicts future values based on past values.,نموذج انحدار ذاتي,نموذج يتنبأ بالقيم المستقبلية بناءً على القيم السابقة.
Autoencoder,A type of artificial neural network used to produce efficient data representations for unsupervised learning.,مُرمِّز تلقائي,نوع من الشبكات العصبية الاصطناعية يُستخدم لإنتاج تمثيلات بيانات فاعلة للتعلُّم غير الموجَّه.
Automated Journalism,"See ""Robot Journalism.""",صحافة مؤتمتة,"انظر ""صحافة روبوتية""."
Automated Machine Learning (AutoML),"The process of automating machine learning tasks to build, train, test, and deploy models.",تعلُّم الآلة المؤتمت,عملية أتمتة مهام تعلُّم الآلة؛ لبناء النماذج وتدريبها واختبارها ونشرها.
Automated Planning and Scheduling,"See ""Artificial Intelligence Planning.""",تخطيط وجدولة مؤتمتة,"انظر ""تخطيط الذكاء الاصطناعي""."
Automated Reasoning,A process that provides machine learning algorithms with an organized framework to define and solve problems.,استدلال مؤتمت,عملية توفر إطارًا منظمًا لخوارزميات تعلُّم الآلة؛ لأجل تحديد المشكلات وحلها.
Automated Vehicle,"See ""Autonomous Vehicle.""",مركبة مؤتمتة,"انظر ""مركبة ذاتية التحكم""."
Automatic Speech Recognition (ASR),"See ""Speech Recognition.""",تعرُّف تلقائي على الكلام,"انظر ""تعرُّف على الكلام""."
Automatic Summarization,A process of shortening a part of natural language while keeping the important semantics.,تلخيص تلقائي,عملية اختصار جزء من اللغات الطبيعية مع الحفاظ على الدلالات المهمة.
Automation,A process or a system that runs without human intervention.,أتمتة,عملية أو نظام يعمل دون تدخل بشري.
Automation Bias,"The favoritism of a human decision-maker to the recommendations produced by an automated decision-making system over information produced without automation, even when the automated decision-making system makes mistakes.",تحيُّز الأتمتة,تفضيل صانع القرار البشري التوصيات التي ينتجها نظام صنع قرار مؤتمت على المعلومات التي تُنتَج بدون أتمتة، حتى عندما يرتكب نظام صنع القرار المؤتمت أخطاء.
Autonomic Computing,The ability of a system to self-manage its resources without user intervention.,حوسبة ذاتية,قدرة النظام على إدارة موارده دون تدخل المستخدم.
Autonomous Car,"See ""Self-Driving Car.""",سيارة ذاتية التحكم,"انظر ""سيارة ذاتية القيادة""."
Autonomous Driving,The process of sensing the surroundings and moving independently and self-sufficiently.,قيادة ذاتية,عملية استشعار المحيط والتحرك بتحكم واكتفاء ذاتي.
Autonomous Robot,A robot that performs tasks with a high degree of autonomy.,روبوت ذاتي التحكم,روبوت يؤدي المهام بدرجة عالية من التحكم الذاتي.
Autonomous System,"A system that operates independently, performing tasks and making decisions without human intervention.",نظام ذاتي التحكم,نظام يعمل بتحكم ذاتي، ويؤدي المهام، ويتخذ القرارات دون تدخل بشري.
Autonomous Vehicle,"A vehicle capable of sensing its surroundings and moving independently and self-sufficiently. Also called ""Automated Vehicle.""",مركبة ذاتية التحكم,"مركبة قادرة على استشعار محيطها والتحرك بتحكم واكتفاء ذاتي. ويُطلق عليها أيضًا ""مركبة مؤتمتة""."
Autonomy,The ability of a system to act based on its own rules and learning methods.,تحكم ذاتي,قدرة النظام على العمل وفقًا لقواعده وطُرُق تعلُّمه.
Autoregressive Model,A model that predicts the future value of a variable based on its past values.,نموذج الانحدار الذاتي,نموذج يتنبأ بالقيمة المستقبلية لمتغير ما، بناءً على قِيَمه السابقة.
Availability,The property of being accessible when required by an authorized entity.,توفُّر,خاصية إمكانية الوصول عند الطلب من كيان معتمد.
Average Linkage,A clustering method that calculates the distance between two clusters as the average distance between all pairs of data points from each cluster.,ربط متوسط,طريقة تجميع تحسب المسافة بين مجموعتين عن طريق متوسط ​​المسافة بين جميع أزواج نقاط البيانات من كل مجموعة.
Average Precision,A metric that summarizes the performance of a ranked sequence of results by calculating the average precision values for each relevant result.,متوسط الإحكام,مقياس يلخص أداء تسلسل مُرتَّب للنتائج عن طريق حساب متوسط قيم الدقة لكل نتيجة ذات صلة.
Backpropagation,An algorithm used in training artificial neural networks to reduce errors by finding a gradient needed to calculate the network's weights.,انتشار عكسي,خوارزمية تُستخدم عند تدريب الشبكات العصبية الاصطناعية لتقليل الأخطاء عن طريق إيجاد قيمة التدرج المطلوب لحساب أوزان الشبكة.
Backpropagation Through Time (BPTT),A method to apply backpropagation to recurrent neural networks.,انتشار عكسي عبر الزمن,طريقة لتطبيق الانتشار العكسي على الشبكات العصبية التكرارية.
Backward Chaining,A logical reasoning approach that goes backward from the goal to specify the data or proof that justifies it.,تسلسل خلفي,طريقة استدلال منطقي تعمل بطريقة عكسية؛ من الهدف إلى تحديد البيانات أو الإثباتات المؤيِّدة لذلك الهدف.
Bag of Words,A representation of words in a text that describes their occurrence within a document regardless of their order.,حقيبة كلمات,تمثيل للكلمات في نص يصف تكرارها داخل مستند، بغض النظر عن ترتيبها.
Baseline Model,A reference model used to compare how well another more complex model performs on a specific problem.,نموذج أساس,نموذج مرجعي يُستخدم لمقارنة مدى جودة أداء نموذج آخر أكثر تعقيدًا في مشكلة معينة.
Batch,A group of examples used for model training.,حُزمة,مجموعة من الأمثلة المستخدمة لتدريب النموذج.
Batch Inference,"See ""Offline Inference.""",استنتاج حُزَمي,"انظر ""استنتاج غير مباشر""."
Batch Normalization,A supervised learning technique for improving neural network performance and stability by converting interlayer outputs into a standard format.,تسوية الحُزمة,أسلوب تعلُّم موجَّه لتحسين أداء الشبكة العصبية واستقرارها عن طريق تحويل مخرجات الطبقة البينية إلى صيغة موحدة.
Batch Processing,The processing of a set of data or programs with minimal human interaction.,معالجة الحُزمة,معالجة مجموعة من البيانات أو البرامج بأقل قدر من التفاعل البشري.
Batch Size,The number of samples passed to the machine learning model at each iteration for training the model.,حجم الحُزمة,عدد العيِّنات التي تُمرَّر إلى نموذج تعلُّم الآلة في كل تكرار لتدريب النموذج.
Bayes's Law,"See ""Bayes's Theorem.""",قانون بايز,"انظر ""نظرية بايز""."
Bayes’s Rule,"See ""Bayes's Theorem.""",قاعدة بايز,"انظر ""نظرية بايز""."
Bayes's Theorem,"A mathematical formula for calculating conditional probabilities that describe the probability of an event based on a prior event. Also called ""Bayes's Law"" or ""Bayes’s Rule.""",نظرية بايز,"صيغة رياضية لحساب الاحتمالات الشرطية التي تصف احتمالية وقوع حدث ما، بناءً على حدث سابق. ويُطلق عليها أيضًا ""قانون بايز"" أو ""قاعدة بايز""."
Bayesian Network,A graphical model that represents variables and their conditional dependencies using Bayesian inference.,شبكة بايزية,نموذج شبكي يمثل المتغيرات وتوابعها الشرطية باستخدام الاستنتاج البايزي.
Bayesian Neural Network,A probabilistic neural network that relies on Bayes' Theorem to calculate uncertainties in weights and outputs.,شبكة عصبية بايزية,شبكة عصبية احتمالية تعتمد على نظرية بايز لحساب أوجه عدم التيقن في الأوزان والمخرجات.
Bayesian Programming,A statistical method for building probability models and solving open-ended problems with incomplete information.,برمجة بايزية,طريقة إحصائية لبناء نماذج احتمالية، وحل المشكلات المفتوحة ذات المعلومات غير المكتملة.
Bees Algorithm,An algorithm that simulates the behavior of bee swarms in finding food by random search and can be used for optimization problems.,خوارزمية النحل,خوارزمية تحاكي سلوك أسراب النحل في العثور على الغذاء عن طريق البحث العشوائي، ويمكن استخدامها لحل مشكلات التحسين.
