framework_id,control_id,title,severity,weight,doc_types,page,intent
nist_interop,nist_interop::EU-AIA-1.6,Continuous iterative risk management throughout the lifecycle (Article 9(2)),high,3,"system,policy",26-29,"Risk management is not a one-time activity; it must be continuously updated based on real-world performance, post-market data, and evolving threats to ensure ongoing compliance and safety."
nist_interop,nist_interop::EU-AIA-1.7,Communication of residual risks to users (Article 9(4)),med,2,"system,policy",26-29,"Users of high-risk AI systems must be clearly informed about any remaining risks after mitigation, including system accuracy, limitations, and potential harms, to enable informed use and accountabilit"
nist_interop,nist_interop::EU-AIA-1.8,"Documentation and record-keeping for high-risk AI systems (Article 9(1), Annex IV)",high,3,"system,policy",26-29,"All aspects of the risk management process for high-risk AI systems must be formally documented and retained to enable regulatory oversight, audits, and accountability throughout the system’s lifecycl"
nist_interop,nist_interop::EU-AIA-1.9,Human oversight to prevent or minimize risks (Article 14),high,3,"system,policy",26-29,"Human oversight must be embedded in the use of high-risk AI systems to intervene, override, or monitor decisions that could harm health, safety, or fundamental rights, especially during misuse or unex"
nist_interop,nist_interop::EU-AIA-1.10,Quality management system with accountability framework (Article 17),med,2,"policy,plan",26-29,"Organizations must establish a formal quality management system that assigns clear accountability for AI compliance across roles, ensuring risk management is embedded in organizational governance."
nist_interop,nist_interop::AIDA-1.1,Requirement to identify and assess risks in AI system lifecycle (AIDA),high,3,"system,plan",26-29,Entities involved in any stage of the AI lifecycle must systematically identify and assess risks related to their AI systems and document how those risks are addressed to ensure accountability and com
nist_interop,nist_interop::AIDA-1.2,Implementation of measures to mitigate or cease risks (AIDA),high,3,"system,policy",26-29,"Organizations must actively implement controls to reduce or stop AI-related risks, and be prepared to halt system operations if compliance orders are issued, ensuring risks are not just identified but"
nist_interop,nist_interop::AIDA-1.3,Documentation and record-keeping of risk management (AIDA),med,2,"system,policy",26-29,"All risk management activities under AIDA must be formally documented to ensure transparency, auditability, and regulatory compliance across the AI system lifecycle."
nist_interop,nist_interop::HUDERIA-1.1,Context-Based Risk Analysis (COBRA) to consolidate risk information and develop a risk management plan,med,2,plan,26-29,"Before developing an AI system, teams must conduct a contextual risk analysis to gather relevant risk data, identify stakeholders, and create a foundational risk management plan aligned with human rig"
nist_interop,nist_interop::HUDERIA-1.2,Stakeholder Engagement Process (SEP) to re-evaluate risks based on feedback,med,2,plan,26-29,"Risk assessments must be validated and refined through direct engagement with affected stakeholders, ensuring their perspectives shape the understanding of potential harms and mitigation strategies."
nist_interop,nist_interop::HUDERIA-1.3,"Human Rights, Democracy and Rule of Law Impact Assessment (HUDERIA)",high,3,plan,26-29,"A formal impact assessment must be conducted to evaluate how the AI system may affect human rights, democracy, and rule of law, using collaborative input from stakeholders and experts to ensure compre"
nist_interop,nist_interop::HUDERIA-1.4,Impact Mitigation Plan (IMP) to define measures and responsibilities,high,3,plan,26-29,"After identifying impacts, organizations must create a detailed mitigation plan that specifies concrete actions, assigns accountability, and defines roles for addressing harms to human rights and demo"
nist_interop,nist_interop::HUDERIA-1,Context-Based Risk Analysis (COBRA),med,2,"system,plan",29-33,"AI teams must systematically gather and document all known risks related to the project, identify all affected stakeholders, and produce a formal risk management plan before proceeding to later stages"
nist_interop,nist_interop::HUDERIA-4,Impact Mitigation Plan (IMP),high,3,"system,policy,plan",29-33,"For every identified high-risk impact, teams must create a concrete mitigation plan that specifies actions, assigns accountability, defines monitoring methods, and establishes accessible remedy pathwa"
nist_interop,nist_interop::HUDERIA-5,Iterative Requirements for HUDERIA,med,2,"system,policy",29-33,"AI systems must be subject to periodic re-assessment of human rights and societal impacts as the system evolves or its environment changes, ensuring ongoing compliance and responsiveness to new risks."
nist_interop,nist_interop::IEEE-7000-21-1,Concept of Operations and Context Exploration Process,med,2,"system,plan",29-33,"Before design begins, teams must define the intended operational context of the AI system, including its social, legal, and ethical environment, to ensure alignment with real-world use conditions and "
nist_interop,nist_interop::IEEE-7000-21-2,Ethical Values Elicitation and Prioritisation Process,med,2,"system,policy,plan",29-33,"Teams must explicitly identify, discuss, and prioritize ethical values (e.g., fairness, transparency, accountability) relevant to the system, engage stakeholders in this process, and secure formal app"
nist_interop,nist_interop::IEEE-7000-21-3,Ethical Requirements Definition Process,med,2,"system,plan",29-33,"Ethical values must be translated into specific, testable design requirements that directly mitigate identified risks, ensuring values are not abstract but embedded into system specifications."
nist_interop,nist_interop::IEEE-7000-21-4,Ethical Risk-Based Design Process,high,3,system,29-33,"Engineers must convert ethical requirements into concrete technical specifications and engineering targets, ensuring that ethical design is not conceptual but implemented in code, architecture, or int"
nist_interop,nist_interop::IEEE-7000-21-5,Transparency Management Process,med,2,"system,policy",29-33,"Throughout design and development, teams must maintain ongoing, accessible communication with stakeholders about how ethical considerations are being addressed, ensuring trust and accountability."
nist_interop,nist_interop::ISO-IEC-51-1,Risk Assessment and Reduction Process,med,2,"system,policy",29-33,"AI systems must undergo a formal risk assessment that quantifies potential harms by severity and likelihood, and implements controls to reduce risks to levels deemed acceptable or 'tolerable' by safet"
nist_interop,nist_interop::ISO-IEC-51-2,Monitoring Risk Reduction Efforts and Documentation,med,2,"system,policy",29-33,"Organizations must continuously monitor whether risk mitigation measures remain effective and maintain comprehensive, accessible records of all risk-related decisions and actions taken."
unesco,unesco::GOVERN-1.1,Implement the Recommendation on the Ethics of Artificial Intelligence,high,3,"policy,plan",1-5,Member States must formally adopt the UNESCO AI Ethics Recommendation into their national governance structures and report back on implementation steps. This ensures global accountability and alignmen
unesco,unesco::PRINCIPLE-1,"Respect, protect, and promote human rights and fundamental freedoms",high,3,"system,policy",1-5,"AI systems must be designed and deployed in full alignment with international human rights law, ensuring that they uphold dignity, equality, and freedoms without discrimination or harm."
unesco,unesco::PRINCIPLE-2,"Ensure transparency, explainability, and interpretability of AI systems",med,2,system,1-5,"AI systems must be designed so that their decision-making processes and data sources can be understood and explained by users, regulators, and affected individuals to enable accountability and trust."
unesco,unesco::PRINCIPLE-3,"Prevent discrimination, bias, and exclusion",high,3,"system,policy",1-5,"AI systems must be actively audited and designed to avoid reinforcing or amplifying existing biases related to race, gender, disability, socioeconomic status, or geography, ensuring equitable outcomes"
unesco,unesco::PRINCIPLE-4,Promote environmental sustainability and protect ecosystems,med,2,"system,policy",1-5,"AI development and deployment must consider environmental costs, such as energy consumption and e-waste, and actively contribute to ecological protection rather than harm."
unesco,unesco::PRINCIPLE-5,"Ensure equitable access and benefit-sharing, especially for LMICs",med,2,"system,policy,plan",1-5,"AI systems and their benefits must be made accessible to low- and middle-income countries, respecting local knowledge and ensuring that these nations are not excluded from participation, innovation, o"
unesco,unesco::PRINCIPLE-6,Uphold cultural diversity and respect local values and knowledge,med,2,"system,policy",1-5,"AI systems must respect and integrate local cultural norms, indigenous knowledge, and value systems rather than imposing homogenized or Western-centric models."
unesco,unesco::PRINCIPLE-7,Support media and information literacy to combat misinformation,med,2,"policy,plan",1-5,"AI developers and deployers must support public understanding of AI and digital information to reduce harm from misinformation, disinformation, and manipulation enabled by AI systems."
unesco,unesco::PRINCIPLE-8,Foster ethical innovation and avoid stifling progress,med,2,"system,policy,plan",1-5,"Ethical safeguards should not be used as barriers to innovation, but rather as frameworks that guide responsible development, ensuring innovation aligns with human dignity and societal well-being."
unesco,unesco::UNESCO-2,Apply the Recommendation on a voluntary basis through legislative or other measures,high,3,"policy,plan",5-8,"Member States must implement the ethical principles of the Recommendation through domestic laws or policies, tailored to their constitutional frameworks, while ensuring alignment with international hu"
unesco,unesco::UNESCO-3,Engage all stakeholders in implementation,med,2,"policy,plan",5-8,"Governments must actively involve all actors in the AI ecosystem—businesses, researchers, civil society, and public institutions—to ensure ethical oversight throughout AI development and deployment, n"
